step,temp/denormalized_mae,temp/denormalized_mse,temp/denormalized_r2,temp/denormalized_rmse,temp/mae,temp/mse,temp/psnr,temp/rmse,temp/ssim,prec/denormalized_mae,prec/denormalized_mse,prec/denormalized_r2,prec/denormalized_rmse,prec/mae,prec/mse,prec/psnr,prec/rmse,prec/ssim,tmax/denormalized_mae,tmax/denormalized_mse,tmax/denormalized_r2,tmax/denormalized_rmse,tmax/mae,tmax/mse,tmax/psnr,tmax/rmse,tmax/ssim,tmin/denormalized_mae,tmin/denormalized_mse,tmin/denormalized_r2,tmin/denormalized_rmse,tmin/mae,tmin/mse,tmin/psnr,tmin/rmse,tmin/ssim
2756,0.8010706901550293,10.026168823242188,0.7276703119277954,2.7419593334198,0.0199969261884689,0.0042231096886098,23.73885726928711,0.0647999346256256,0.8902791142463684,3.500949621200561,195.3622283935547,0.6779534220695496,9.62547779083252,0.0035723506007343,0.0001808661618269,37.03597640991211,0.0130312405526638,0.9629334211349488,0.907321572303772,12.131303787231444,0.7785934805870056,3.025416374206543,0.020579919219017,0.0042927018366754,23.658775329589844,0.0653927326202392,0.873632550239563,0.8548967838287354,12.025747299194336,0.5642246603965759,2.999481201171875,0.0220578927546739,0.0052246134728193,22.781665802001957,0.0721881613135337,0.8748740553855896
5513,0.8010706901550293,10.026168823242188,0.7276703119277954,2.7419593334198,0.0199969261884689,0.0042231096886098,23.73885726928711,0.0647999346256256,0.8902791142463684,3.331493377685547,173.89764404296875,0.781278669834137,8.905413627624512,0.0036215123254805,0.0001590930187376,37.58914566040039,0.0122242178767919,0.964680552482605,0.7813135981559753,9.72775173187256,0.8223597407341003,2.69443941116333,0.0191387459635734,0.0037104755174368,24.29043197631836,0.0608012117445468,0.8793071508407593,0.7457512617111206,9.54544162750244,0.6627911925315857,2.6620333194732666,0.0209129992872476,0.0045172772370278,23.411470413208008,0.0671313852071762,0.874864399433136
8270,0.750604659318924,9.144994258880615,0.7520560920238495,2.6136722564697266,0.0187760321423411,0.0038847222458571005,24.118236541748047,0.06209016032516955,0.9032639861106873,2.7819929122924805,147.2938995361328,0.8657880425453186,8.061036109924316,0.0031208079308271,0.0001417175662936,38.092864990234375,0.0115365125238895,0.9702037572860718,0.8199954628944397,9.471665382385254,0.8252312541007996,2.6632189750671387,0.0181271769106388,0.0033982028253376,24.672103881835938,0.0581869594752788,0.9117168188095092,0.7943985462188721,9.253275871276855,0.671894371509552,2.631963968276977,0.0197938289493322,0.0041364012286067,23.793243408203125,0.064241774380207,0.9141052961349488
11027,0.7001386284828186,8.263819694519043,0.7764418721199036,2.4853851795196533,0.0175551380962133,0.0035463348031044,24.497615814208984,0.0593803860247135,0.916248857975006,2.685591220855713,139.08908081054688,0.8806284070014954,7.800045490264893,0.0028111860156059,0.0001308064529439,38.435543060302734,0.0110862106084823,0.9743913412094116,0.7131715416908264,8.626502990722656,0.8402318954467773,2.5301764011383057,0.0165242925286293,0.0031189126893877,25.04459953308105,0.0557445026934146,0.9196356534957886,0.6957082748413086,8.337889671325684,0.70504230260849,2.493582248687744,0.0181773025542497,0.0037843966856598,24.17902565002441,0.0614492446184158,0.9215206503868104
13784,0.692092627286911,7.5957887172698975,0.7920401990413666,2.3882551193237305,0.01723452098667615,0.0033181804465129503,24.796809196472168,0.05740417353808875,0.9236217439174652,2.643298625946045,132.5099334716797,0.8672419786453247,7.594338893890381,0.0028159862849861,0.0001223900762852,38.71844482421875,0.0107266083359718,0.9755698442459106,0.6822801232337952,7.652779579162598,0.8541210293769836,2.3908004760742188,0.0158893093466758,0.0028872212860733,25.379274368286133,0.0536357387900352,0.9286511540412904,0.6682106852531433,7.841333389282227,0.7211741805076599,2.418845891952514,0.0175700578838586,0.0035118986852467,24.50319099426269,0.0591968819499015,0.9280959963798524
16541,0.6840466260910034,6.927757740020752,0.8076385259628296,2.291125059127808,0.016913903877139,0.0030900260899215,25.09600257873535,0.055427961051464,0.9309946298599244,2.562252998352051,120.43158721923828,0.8810046315193176,7.3376922607421875,0.0026948957238346,0.0001150931348092,38.97526168823242,0.0104077393189072,0.9773256182670592,0.6746775507926941,7.469773292541504,0.8548166751861572,2.364920139312744,0.0158905331045389,0.0027458558324724,25.59714126586914,0.0523066818714141,0.927609384059906,0.64125657081604,7.168647289276123,0.7438780665397644,2.3182473182678223,0.0171875339001417,0.0033272847067564,24.73769760131836,0.0576199740171432,0.9295265078544616
19298,0.6604300439357758,6.884167194366455,0.8089225888252258,2.2777305841445923,0.01631426066160195,0.0029334614519028997,25.328619956970215,0.05398447625339025,0.9326280653476716,2.4293372631073,115.94114685058594,0.8967350721359253,7.131768703460693,0.0025507796090096,0.0001075722466339,39.2680892944336,0.010061927139759,0.978676974773407,0.6614216566085815,6.610418796539307,0.8690635561943054,2.2326548099517822,0.015438063070178,0.0026028726715594,25.829099655151367,0.0509274341166019,0.9323477745056152,0.6336266994476318,6.385312080383301,0.7716538310050964,2.195017576217652,0.0169920083135366,0.003162131877616,24.958898544311523,0.0561714172363281,0.9327793121337892
22055,0.6368134617805481,6.840576648712158,0.8102066516876221,2.264336109161377,0.0157146174460649,0.0027768968138843,25.56123733520508,0.0525409914553165,0.9342615008354188,2.431520462036133,112.88224792480467,0.9048041105270386,7.068362236022949,0.0026900931261479,0.0001031528445309,39.44865036010742,0.0098538370802998,0.9778581857681274,0.647100031375885,6.4986114501953125,0.8684995174407959,2.2166662216186523,0.0150172272697091,0.0024393310304731,26.11143493652344,0.0493001192808151,0.9368563294410706,0.6156113147735596,6.397671699523926,0.7695613503456116,2.196141242980957,0.0160399377346038,0.0029726733919233,25.227706909179688,0.0544611997902393,0.9390286803245544
24812,0.645604133605957,6.39906644821167,0.8201729953289032,2.1978824138641357,0.0155924768187105,0.00263432599604125,25.796093940734863,0.051156828179955455,0.9378842413425446,2.3732364177703857,103.90185546875,0.8971874117851257,6.818356513977051,0.0026334817521274,0.0001006338279694,39.55204772949219,0.0097353039309382,0.9781466126441956,0.6342265605926514,6.343514442443848,0.8705655932426453,2.1892733573913574,0.0148351546376943,0.0023070476017892,26.353872299194336,0.0479439459741115,0.9363173246383668,0.5916673541069031,6.074170112609863,0.78127121925354,2.1368322372436523,0.0157490652054548,0.0028170233126729,25.461305618286133,0.0530161336064338,0.9392367601394652
27569,0.654394805431366,5.957556247711182,0.8301393389701843,2.1314287185668945,0.0154703361913561,0.0024917551781982,26.03095054626465,0.0497726649045944,0.9415069818496704,2.331395387649536,103.47488403320312,0.9045661091804504,6.7596635818481445,0.0024181799963116,9.439832501811908e-05,39.82847213745117,0.009429208934307,0.9811180233955384,0.611031711101532,5.818269729614258,0.8803048133850098,2.0996744632720947,0.0139052681624889,0.0021751204039901,26.610111236572266,0.0465516149997711,0.9432517290115356,0.5789090991020203,5.712814807891846,0.7938968539237976,2.0733907222747803,0.0149398827925324,0.0026780583430081,25.68091583251953,0.0516922324895858,0.9439427256584167
30326,0.6259217262268066,5.519099950790405,0.8419548571109772,2.0490466356277466,0.01502297166734925,0.0023732206318527,26.247909545898438,0.04855957254767415,0.9434811770915985,2.4622154235839844,102.7529525756836,0.885820746421814,6.807698726654053,0.0024696220643818,9.162777860183267e-05,39.9522705078125,0.0092924032360315,0.980948805809021,0.6040530204772949,5.536630630493164,0.8841660618782043,2.0535728931427,0.0136378286406397,0.0020629288628697,26.839933395385746,0.0453355945646762,0.945753574371338,0.5639728903770447,5.352434158325195,0.8050670027732849,2.0120835304260254,0.0147442668676376,0.0025449972599744,25.902122497558597,0.0503920242190361,0.9447126984596252
33083,0.5974486470222473,5.080643653869629,0.85377037525177,1.9666645526885984,0.0145756071433424,0.0022546860855072,26.464868545532227,0.0473464801907539,0.9454553723335266,2.238027811050415,96.15084838867188,0.9131482243537904,6.518091678619385,0.0023370375856757,8.791389700490981e-05,40.132774353027344,0.0091018676757812,0.9823303818702698,0.5833781361579895,5.000701427459717,0.8938636779785156,1.956865668296814,0.0132596716284751,0.0019628475420176,27.05516624450684,0.0442240945994854,0.9476300477981568,0.5465074777603149,4.979141712188721,0.8179857134819031,1.9421383142471316,0.0142192160710692,0.0024195986334234,26.121034622192383,0.0491363480687141,0.9473721385002136
35840,0.5792763531208038,5.0285584926605225,0.8546186685562134,1.9547654390335083,0.01412308169528835,0.0021532215178012,26.669837951660156,0.046255595982074696,0.9463057816028595,2.287017822265625,94.46305084228516,0.9182009696960448,6.512821197509766,0.0023433051537722,8.655163401272148e-05,40.19899368286133,0.0090320473536849,0.9828449487686156,0.5632621645927429,4.733555316925049,0.8988389372825623,1.9045439958572388,0.0131578389555215,0.0018836519448086,27.233549118041992,0.0433239340782165,0.9470061659812928,0.5329561233520508,4.736155986785889,0.8263367414474487,1.8961573839187624,0.0140279410406947,0.0023173056542873,26.30832290649414,0.0480873323976993,0.9475868344306946
38597,0.5611040592193604,4.976473331451416,0.8554669618606567,1.942866325378418,0.0136705562472343,0.0020517569500952,26.87480735778809,0.0451647117733955,0.9471561908721924,2.2445764541625977,94.6996841430664,0.9194856286048888,6.4685378074646,0.0023656426928937,8.381342922803015e-05,40.33454895019531,0.0088898101821541,0.982707679271698,0.5477502942085266,4.442238807678223,0.904303252696991,1.84759533405304,0.0128586282953619,0.001809858251363,27.40682411193848,0.0424675084650516,0.9492008090019226,0.5185619592666626,4.507527828216553,0.8347764015197754,1.849721908569336,0.0136425625532865,0.0022160487715154,26.50191307067871,0.0470261834561824,0.949271559715271
41354,0.5404285490512848,4.586174488067627,0.8654747605323792,1.867750883102417,0.0133117078803479,0.0019678240059873998,27.05953025817871,0.0442227162420749,0.9480612874031067,2.277961015701294,89.78472900390625,0.9142962098121644,6.387882232666016,0.0024461424909532,8.324935333803296e-05,40.35950469970703,0.0088621657341718,0.9817864894866944,0.5509089231491089,4.476188659667969,0.9030196666717528,1.8551198244094849,0.0124765820801258,0.0017366716638207,27.585670471191406,0.0416010245680809,0.9525200724601746,0.5305327773094177,4.555757999420166,0.831845223903656,1.8617126941680908,0.013508565723896,0.0021211700513958,26.69137191772461,0.0460100024938583,0.9506702423095704
44111,0.5197530388832092,4.195875644683838,0.8754825592041016,1.792635440826416,0.0129528595134615,0.0018838910618796,27.244253158569336,0.0432807207107543,0.948966383934021,2.204406499862671,90.2715835571289,0.9207645058631896,6.343834400177002,0.002261126646772,7.938905764603987e-05,40.564056396484375,0.0086547695100307,0.983736515045166,0.5445711612701416,4.437648773193359,0.9039775729179382,1.8443453311920168,0.0122738750651478,0.0016808873042464,27.727304458618164,0.040927805006504,0.953458845615387,0.5161613821983337,4.382749557495117,0.8383044004440308,1.8247947692871092,0.0131777003407478,0.0020430216100066,26.854019165039062,0.0451554730534553,0.952622890472412
46868,0.5256322026252747,4.260454893112183,0.873478502035141,1.8050297498703003,0.012794916518032499,0.0018030938226728998,27.43958854675293,0.04233041591942305,0.9490638673305511,2.183907985687256,88.30680084228516,0.9208351969718932,6.257610321044922,0.0022376719862222,7.77138484409079e-05,40.65570068359375,0.0085634309798479,0.9844585061073304,0.5335022211074829,4.331690311431885,0.9059528708457948,1.821561813354492,0.0124405417591333,0.0016384000191465,27.838178634643555,0.0404079519212245,0.9499816298484802,0.5110071301460266,4.389835357666016,0.8378552198410034,1.8250586986541748,0.0134322261437773,0.0019845014903694,26.979856491088867,0.0445050187408924,0.9479364156723022
49625,0.5315113663673401,4.325034141540527,0.8714744448661804,1.8174240589141848,0.0126369735226035,0.0017222965834662,27.634923934936523,0.0413801111280918,0.9491613507270812,2.183077573776245,88.17819213867188,0.92327082157135,6.252832889556885,0.0022598013747483,7.607959560118616e-05,40.74589157104492,0.008473833091557,0.984623372554779,0.5359817147254944,4.224670886993408,0.907307744026184,1.8030736446380613,0.012034598737955,0.0015939885051921,27.957387924194336,0.0398568361997604,0.954478919506073,0.5076425671577454,4.298302173614502,0.8406304121017456,1.8084750175476076,0.0128316907212138,0.0019196693319827,27.123947143554688,0.0437724106013774,0.9528814554214478
52382,0.5181287229061127,4.151108622550964,0.8760449290275574,1.78193598985672,0.01233582803979515,0.0016496604075654999,27.826133728027344,0.04048860818147655,0.9493438899517059,2.161144256591797,87.07938385009766,0.9218626022338868,6.21106481552124,0.002196469111368,7.470076525351033e-05,40.823089599609375,0.0083976788446307,0.9849268198013306,0.5209072828292847,4.018914699554443,0.9114307165145874,1.7590618133544922,0.0117184901610016,0.0015547065995633,28.06564712524414,0.0393629111349582,0.9553139209747314,0.4993878901004791,4.152313232421875,0.8456162810325623,1.7779052257537842,0.0125929461792111,0.0018625012598931,27.25526428222656,0.0431156605482101,0.952973484992981
55139,0.5047460794448853,3.977183103561402,0.8806154131889343,1.7464479207992554,0.0120346825569868,0.0015770242316648,28.017343521118164,0.0395971052348613,0.9495264291763306,2.167937994003296,83.93832397460938,0.9213072657585144,6.133941173553467,0.0022036591544747,7.376985013252124e-05,40.872833251953125,0.0083474228158593,0.9848564863204956,0.5111809372901917,3.843105316162109,0.9146624207496644,1.7226163148880005,0.011610415764153,0.0015275639016181,28.141542434692383,0.0390191189944744,0.955328643321991,0.4909264743328094,3.946753263473511,0.8534073829650879,1.7356781959533691,0.0125575102865695,0.0018187992973253,27.3581657409668,0.042607344686985,0.9528629779815674
57896,0.502717137336731,3.949525833129883,0.8813112676143646,1.74059396982193,0.011803069151937951,0.00152305793017145,28.17180824279785,0.0389064792543649,0.9498271346092224,2.1361184120178223,82.78557586669922,0.917574942111969,6.077951431274414,0.0021925624459981,7.257151446538046e-05,40.94293594360352,0.0082798460498452,0.9851081371307372,0.5121035575866699,3.84688949584961,0.9139875173568726,1.7245546579360962,0.0119771650061011,0.0015021510189399,28.21455192565918,0.0386928506195545,0.9505927562713624,0.4927681386470794,3.958191156387329,0.8519331216812134,1.7400556802749634,0.0128806484863162,0.0017783348448574,27.455656051635746,0.0421312563121318,0.947354257106781
60653,0.5006881952285767,3.921868562698364,0.8820071220397949,1.7347400188446045,0.0115714557468891,0.0014690916286781,28.32627296447754,0.0382158532738685,0.9501278400421144,2.139592170715332,82.4332504272461,0.92103111743927,6.067508697509766,0.0021781951654702,7.226681191241369e-05,40.95978164672852,0.0082631250843405,0.984975278377533,0.5046375393867493,3.660025358200073,0.9179503321647644,1.6850143671035769,0.0115137007087469,0.0014853028114885,28.26313781738281,0.0384761281311512,0.9544325470924376,0.482305109500885,3.7998361587524414,0.8585866093635559,1.705289006233215,0.0122362412512302,0.001747359521687,27.531906127929688,0.0417628660798072,0.953411877155304
